iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
40,0.2,32,50,1,False,0.4,sigmoid,uniform,,0.602351137234858,0.7470955201210153,74.0150957107544,13
41,0.2,32,50,1,False,0.4,sigmoid,normal,,0.6040122668029644,0.748374292499532,64.65578985214233,13
42,0.2,32,50,2,False,0,sigmoid,uniform,,0.602351137234858,0.7465862254940736,143.25081133842468,13
43,0.2,32,50,2,False,0,sigmoid,normal,,0.5990288780986454,0.7438129570958052,122.92107200622559,13
44,0.2,32,50,2,False,0.2,sigmoid,uniform,,0.6035011500127777,0.7475032189483805,136.91197681427002,13
45,0.2,32,50,2,False,0.2,sigmoid,normal,,0.602351137234858,0.7470955201210153,113.87438869476318,13
46,0.2,32,50,2,False,0.4,sigmoid,uniform,,0.602351137234858,0.747575712197846,131.5305576324463,13
47,0.2,32,50,2,False,0.4,sigmoid,normal,,0.6040122668029644,0.748374292499532,114.53017139434814,13
48,0.2,32,50,3,False,0,sigmoid,uniform,,0.6024789164324046,0.7466881136556633,188.39530277252197,13
49,0.2,32,50,3,False,0,sigmoid,normal,,0.602351137234858,0.7465862254940736,162.4131691455841,13
50,0.2,32,50,3,False,0.2,sigmoid,uniform,,0.6040122668029644,0.7479107715947391,199.88324236869812,13
51,0.2,32,50,3,False,0.2,sigmoid,normal,,0.6017122412471247,0.7470865533235942,168.24912643432617,13
52,0.2,32,50,3,False,0.4,sigmoid,uniform,,0.6006900076667517,0.7457785754326923,191.58300399780273,13
53,0.2,32,50,3,False,0.4,sigmoid,normal,,0.602351137234858,0.747575712197846,167.54601097106934,13
54,0.2,64,50,1,False,0,selu,uniform,,0.4086378737541529,0.04270618094142747,61.76105070114136,13
55,0.2,64,50,1,False,0,selu,normal,,0.5784564272936364,0.7111069314898819,47.656006813049316,13
56,0.2,64,50,1,False,0.2,selu,uniform,,0.600562228469205,0.7270340345631823,60.39031624794006,13
57,0.2,64,50,1,False,0.2,selu,normal,,0.5808842320470226,0.7086339565283561,45.21851587295532,13
58,0.2,64,50,1,False,0.4,selu,uniform,,0.5914899054433936,0.7250141499429207,55.78096318244934,13
59,0.2,64,50,1,False,0.4,selu,normal,,0.5960899565550727,0.7293929324050789,45.64038968086243,13
60,0.2,64,50,2,False,0,selu,uniform,,0.39764886276514183,0.0,105.88629698753357,13
61,0.2,64,50,2,False,0,selu,normal,,0.4242269358548429,0.1832356842193452,82.19471716880798,13
62,0.2,64,50,2,False,0.2,selu,uniform,,0.594173268591873,0.7342928251301537,104.81196737289429,13
63,0.2,64,50,2,False,0.2,selu,normal,,0.403654485049834,0.06356021512611842,80.68065595626831,13
64,0.2,64,50,2,False,0.4,selu,uniform,,0.5926399182213135,0.735052325696499,98.71824026107788,13
65,0.2,64,50,2,False,0.4,selu,normal,,0.5987733197035521,0.7368904759957416,80.71833229064941,13
66,0.2,64,50,3,False,0,selu,uniform,,0.39764886276514183,0.0,144.5588457584381,13
67,0.2,64,50,3,False,0,selu,normal,,0.4100434449271659,0.05975979525590407,116.5619010925293,13
68,0.2,64,50,3,False,0.2,selu,uniform,,0.40378226424738056,0.05503839269780346,150.49258470535278,13
69,0.2,64,50,3,False,0.2,selu,normal,,0.4197546639407105,0.12477673175595998,118.79626250267029,13
70,0.2,64,50,3,False,0.4,selu,uniform,,0.434065934065934,0.19381637281717018,140.88422775268555,13
71,0.2,64,50,3,False,0.4,selu,normal,,0.39764886276514183,0.0,118.98151540756226,13
72,0.2,64,50,1,False,0,tanh,uniform,,0.6008177868642983,0.7448891218454197,60.937182903289795,13
73,0.2,64,50,1,False,0,tanh,normal,,0.5966010733452592,0.7419350928201924,46.43726205825806,13
74,0.2,64,50,1,False,0.2,tanh,uniform,,0.602351137234858,0.746045099952948,59.78094530105591,13
75,0.2,64,50,1,False,0.2,tanh,normal,,0.6026066956299513,0.7467900018172531,44.219725608825684,13
76,0.2,64,50,1,False,0.4,tanh,uniform,,0.6040122668029644,0.748374292499532,54.7653489112854,13
77,0.2,64,50,1,False,0.4,tanh,normal,,0.6032455916176845,0.748005716975677,44.56227397918701,13
78,0.2,64,50,2,False,0,tanh,uniform,,0.6022233580373113,0.7469978521415287,104.37446522712708,13
79,0.2,64,50,2,False,0,tanh,normal,,0.6004344492716583,0.7446427249601617,81.81113004684448,13
80,0.2,64,50,2,False,0.2,tanh,uniform,,0.6022233580373113,0.7464812023121274,104.70258903503418,13
81,0.2,64,50,2,False,0.2,tanh,normal,,0.5987733197035521,0.7447872489365369,78.51522469520569,13
82,0.2,64,50,2,False,0.4,tanh,uniform,,0.602351137234858,0.7465862254940736,96.85888361930847,13
83,0.2,64,50,2,False,0.4,tanh,normal,,0.602351137234858,0.747575712197846,77.78841400146484,13
84,0.2,64,50,3,False,0,tanh,uniform,,0.6040122668029644,0.7479107715947391,142.42114162445068,13
85,0.2,64,50,3,False,0,tanh,normal,,0.6040122668029644,0.7479107715947391,114.22521090507507,13
86,0.2,64,50,3,False,0.2,tanh,uniform,,0.602351137234858,0.7465862254940736,148.0461151599884,13
87,0.2,64,50,3,False,0.2,tanh,normal,,0.6020955788397647,0.7465795011677707,115.39002442359924,13
88,0.2,64,50,3,False,0.4,tanh,uniform,,0.6006900076667517,0.7457785754326923,140.22976565361023,13
89,0.2,64,50,3,False,0.4,tanh,normal,,0.6019677996422181,0.7472822168732949,115.65565371513367,13
90,0.2,64,50,1,False,0,sigmoid,uniform,,0.6022233580373113,0.7465279217618319,61.58107876777649,13
91,0.2,64,50,1,False,0,sigmoid,normal,,0.6015844620495782,0.7453283452120486,46.74007773399353,13
92,0.2,64,50,1,False,0.2,sigmoid,uniform,,0.6015844620495782,0.7464965679816089,60.124693155288696,13
93,0.2,64,50,1,False,0.2,sigmoid,normal,,0.6027344748274979,0.7467783410708047,44.45290184020996,13
94,0.2,64,50,1,False,0.4,sigmoid,uniform,,0.602351137234858,0.7470955201210153,55.46845841407776,13
95,0.2,64,50,1,False,0.4,sigmoid,normal,,0.6040122668029644,0.748374292499532,45.140393018722534,13
96,0.2,64,50,2,False,0,sigmoid,uniform,,0.6027344748274979,0.7468918899788426,105.61339116096497,13
97,0.2,64,50,2,False,0,sigmoid,normal,,0.6006900076667517,0.7452209241287723,82.10895562171936,13
98,0.2,64,50,2,False,0.2,sigmoid,uniform,,0.602351137234858,0.7465862254940736,105.31196141242981,13
99,0.2,64,50,2,False,0.2,sigmoid,normal,,0.602351137234858,0.7465862254940736,78.9009313583374,13
100,0.2,64,50,2,False,0.4,sigmoid,uniform,,0.6006900076667517,0.7457785754326923,97.70261931419373,13
101,0.2,64,50,2,False,0.4,sigmoid,normal,,0.6031178124201377,0.7478709473487627,79.20271515846252,13
102,0.2,64,50,3,False,0,sigmoid,uniform,,0.6028622540250446,0.7469937781404324,143.57446336746216,13
103,0.2,64,50,3,False,0,sigmoid,normal,,0.6024789164324046,0.7466881136556633,115.29628205299377,13
104,0.2,64,50,3,False,0.2,sigmoid,uniform,,0.6026066956299513,0.7471817669149006,150.18381714820862,13
105,0.2,64,50,3,False,0.2,sigmoid,normal,,0.6022233580373113,0.7469942166834522,116.68690037727356,13
106,0.2,64,50,3,False,0.4,sigmoid,uniform,,0.6022233580373113,0.7465240985662752,140.07741451263428,13
107,0.2,64,50,3,False,0.4,sigmoid,normal,,0.602351137234858,0.747575712197846,116.06591391563416,13
108,0.2,128,50,1,False,0,selu,uniform,,0.39764886276514183,0.0,53.09347867965698,13
109,0.2,128,50,1,False,0,selu,normal,,0.41515461282903143,0.07058795747734417,37.74980688095093,13
110,0.2,128,50,1,False,0.2,selu,uniform,,0.39764886276514183,0.0,51.499738454818726,13
111,0.2,128,50,1,False,0.2,selu,normal,,0.6047789419882442,0.7360092000555685,35.070103883743286,13
112,0.2,128,50,1,False,0.4,selu,uniform,,0.6000511116790185,0.7413460153317433,47.00967741012573,13
