iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
52,0.2,32,50,3,0.4,tanh,uniform,,0.7453369639210345,0.8313317853278871,495.74375224113464,13
53,0.2,32,50,3,0.4,tanh,normal,,0.7426042983565105,0.8292530384780818,498.83455443382263,13
54,0.2,32,50,1,0,sigmoid,zero,,0.7494310998735776,0.834589656899771,365.8922109603882,13
55,0.2,32,50,1,0,sigmoid,uniform,,0.8010016532140425,0.8608322441211068,355.4399166107178,13
56,0.2,32,50,1,0,sigmoid,normal,,0.8056890012642224,0.8630743081034165,368.73078751564026,13
57,0.2,32,50,1,0.2,sigmoid,zero,,0.7589808421666829,0.8417140646182533,388.7016930580139,13
58,0.2,32,50,1,0.2,sigmoid,uniform,,0.7586015754157346,0.8414529925287356,385.82346296310425,13
59,0.2,32,50,1,0.2,sigmoid,normal,,0.7592434114558008,0.84193982603539,377.8877663612366,13
60,0.2,32,50,1,0.4,sigmoid,zero,,0.7594768063794612,0.842120298454083,378.4537959098816,13
61,0.2,32,50,1,0.4,sigmoid,uniform,,0.7584946027423903,0.8413377426098336,396.33177161216736,13
62,0.2,32,50,1,0.4,sigmoid,normal,,0.7577749683944376,0.8408762500304447,390.26346254348755,13
63,0.2,32,50,2,0,sigmoid,zero,,0.7414275989497228,0.8285090813724013,398.53786611557007,13
64,0.2,32,50,2,0,sigmoid,uniform,,0.7573276281240883,0.840449086188071,405.05406641960144,13
65,0.2,32,50,2,0,sigmoid,normal,,0.7639696586599242,0.8431932777147197,403.48201727867126,13
66,0.2,32,50,2,0.2,sigmoid,zero,,0.7579694641641544,0.8410083680278377,460.2313349246979,13
67,0.2,32,50,2,0.2,sigmoid,uniform,,0.7597588252455508,0.8422895780854639,451.49777340888977,13
68,0.2,32,50,2,0.2,sigmoid,normal,,0.7593990080715743,0.8420437560343668,451.91847491264343,13
69,0.2,32,50,2,0.4,sigmoid,zero,,0.7594865311679471,0.8421199342938192,463.4429678916931,13
70,0.2,32,50,2,0.4,sigmoid,uniform,,0.7596226782067489,0.8422268659124222,465.01708483695984,13
71,0.2,32,50,2,0.4,sigmoid,normal,,0.758650199358164,0.841461564002629,449.23405623435974,13
72,0.2,32,50,3,0,sigmoid,zero,,0.7316250121559855,0.8208335577392268,470.8327121734619,13
73,0.2,32,50,3,0,sigmoid,uniform,,0.7537391811728095,0.8378045259195462,485.9188711643219,13
74,0.2,32,50,3,0,sigmoid,normal,,0.7534377127297481,0.8375466865451536,470.6147758960724,13
75,0.2,32,50,3,0.2,sigmoid,zero,,0.7568219391228241,0.8401011195175304,531.4873070716858,13
76,0.2,32,50,3,0.2,sigmoid,uniform,,0.7522123893805308,0.836654705459791,513.6888999938965,13
77,0.2,32,50,3,0.2,sigmoid,normal,,0.7592531362442865,0.8419293198629093,499.31440258026123,13
78,0.2,32,50,3,0.4,sigmoid,zero,,0.7599824953807255,0.8424700536630763,506.21026515960693,13
79,0.2,32,50,3,0.4,sigmoid,uniform,,0.7572887289701448,0.8405065445362293,520.2192921638489,13
80,0.2,32,50,3,0.4,sigmoid,normal,,0.7536711076534085,0.8378357146494022,517.5543632507324,13
81,0.2,64,50,1,0,selu,zero,,0.6033550520276184,0.7496210765144661,243.96286725997925,13
82,0.2,64,50,1,0,selu,uniform,,0.7561023047748712,0.7072854004159469,247.11953377723694,13
83,0.2,64,50,1,0,selu,normal,,0.770689487503647,0.7477771562380141,247.94483876228333,13
84,0.2,64,50,1,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,280.92448019981384,13
85,0.2,64,50,1,0.2,selu,uniform,,0.7604784595935038,0.82900070662967,276.87429118156433,13
86,0.2,64,50,1,0.2,selu,normal,,0.7581153359914421,0.8254536601055031,291.67214465141296,13
87,0.2,64,50,1,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,282.35761761665344,13
88,0.2,64,50,1,0.4,selu,uniform,,0.7552854225420597,0.8348668708414346,289.9715003967285,13
89,0.2,64,50,1,0.4,selu,normal,,0.7563843236409608,0.8334969933098515,276.2109353542328,13
90,0.2,64,50,2,0,selu,zero,,0.6033550520276184,0.7496210765144661,301.5005989074707,13
91,0.2,64,50,2,0,selu,uniform,,0.7528445006321113,0.7804009740989324,307.3101472854614,13
92,0.2,64,50,2,0,selu,normal,,0.7561898278712438,0.7748103251659199,300.8331708908081,13
93,0.2,64,50,2,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,361.8569221496582,13
94,0.2,64,50,2,0.2,selu,uniform,,0.7416609938733832,0.7738588653184613,348.34339904785156,13
