iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
34,0.2,32,50,1,False,0.4,tanh,uniform,,0.6333235670147033,0.6251025640842132,123.33562707901001,13
35,0.2,32,50,1,False,0.4,tanh,normal,,0.6348417856381845,0.6266133679962522,123.30061078071594,13
36,0.2,32,50,2,False,0,tanh,glorot_normal,,0.6420733006605579,0.6334015657538771,253.4021656513214,13
37,0.2,32,50,2,False,0,tanh,uniform,,0.6376651395695724,0.627857503395702,222.29069590568542,13
38,0.2,32,50,2,False,0,tanh,normal,,0.6446702535691455,0.6354044030938015,222.60277128219604,13
39,0.2,32,50,2,False,0.2,tanh,glorot_normal,,0.6335632857447265,0.6253454109802811,258.98245000839233,13
40,0.2,32,50,2,False,0.2,tanh,uniform,,0.6352413168548899,0.6270381603876498,226.94769597053528,13
41,0.2,32,50,2,False,0.2,tanh,normal,,0.6360270615810786,0.6277799695359955,226.90663957595825,13
42,0.2,32,50,2,False,0.4,tanh,glorot_normal,,0.6319385254634563,0.6236257087895547,249.58521389961243,13
43,0.2,32,50,2,False,0.4,tanh,uniform,,0.6334034732580441,0.6251490582127159,226.5457456111908,13
44,0.2,32,50,2,False,0.4,tanh,normal,,0.6324179629235032,0.6241300501889683,226.61907958984375,13
45,0.2,32,50,3,False,0,tanh,glorot_normal,,0.6401955039420409,0.6307024620456803,351.7378692626953,13
46,0.2,32,50,3,False,0,tanh,uniform,,0.6356941189004902,0.6266971455921798,312.2965614795685,13
47,0.2,32,50,3,False,0,tanh,normal,,0.6389702748774769,0.6297093318287311,312.51496863365173,13
48,0.2,32,50,3,False,0.2,tanh,glorot_normal,,0.6344156190070318,0.6261939766449485,360.15483236312866,13
49,0.2,32,50,3,False,0.2,tanh,uniform,,0.6324179629235035,0.6241699649810758,319.38440918922424,13
50,0.2,32,50,3,False,0.2,tanh,normal,,0.6334833795013853,0.6252332205032994,319.35644698143005,13
51,0.2,32,50,3,False,0.4,tanh,glorot_normal,,0.6339628169614322,0.6257166834226818,350.9515595436096,13
52,0.2,32,50,3,False,0.4,tanh,uniform,,0.6319385254634563,0.6236257087895547,321.62838912010193,13
53,0.2,32,50,3,False,0.4,tanh,normal,,0.6333768378435969,0.6251015982029662,321.2781352996826,13
54,0.2,32,50,1,False,0,sigmoid,glorot_normal,,0.3428910078840828,0.2481446113382227,149.20895981788635,13
55,0.2,32,50,1,False,0,sigmoid,uniform,,0.3428910078840828,0.2481446113382227,122.68135333061218,13
56,0.2,32,50,1,False,0,sigmoid,normal,,0.3428910078840828,0.2481446113382227,122.65563559532166,13
