iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
60,0.2,32,50,1,False,0.4,sigmoid,glorot_normal,,0.5186131697759605,0.529627177071143,158.60318303108215,13
61,0.2,32,50,1,False,0.4,sigmoid,uniform,,0.5233410000851862,0.5363423386516967,143.61536836624146,13
62,0.2,32,50,1,False,0.4,sigmoid,normal,,0.5213391259902888,0.5330461702550866,143.94636750221252,13
63,0.2,32,50,2,False,0,sigmoid,glorot_normal,,0.5212965329244399,0.5372462761823685,282.51829195022583,13
64,0.2,32,50,2,False,0,sigmoid,uniform,,0.5230428486242441,0.5293426380082545,248.56615495681763,13
65,0.2,32,50,2,False,0,sigmoid,normal,,0.5222761734389644,0.5279524169876549,251.0391685962677,13
66,0.2,32,50,2,False,0.2,sigmoid,glorot_normal,,0.5289632847772383,0.5418336367112052,299.2475657463074,13
67,0.2,32,50,2,False,0.2,sigmoid,uniform,,0.5244058267314082,0.5254633930676355,269.41590666770935,13
68,0.2,32,50,2,False,0.2,sigmoid,normal,,0.5206150438708579,0.5229781252506507,261.6679754257202,13
69,0.2,32,50,2,False,0.4,sigmoid,glorot_normal,,0.5331374052304285,0.543991803344375,288.9281804561615,13
70,0.2,32,50,2,False,0.4,sigmoid,uniform,,0.5355652099838145,0.5501160937005564,261.4029724597931,13
71,0.2,32,50,2,False,0.4,sigmoid,normal,,0.5336059289547661,0.5358252954650363,258.7345154285431,13
72,0.2,32,50,3,False,0,sigmoid,glorot_normal,,0.5232984070193372,0.5272945254898284,363.4745452404022,13
73,0.2,32,50,3,False,0,sigmoid,uniform,,0.538291166198143,0.5459816931976248,318.8023374080658,13
74,0.2,32,50,3,False,0,sigmoid,normal,,0.5266206661555499,0.532746287790972,321.23410081863403,13
75,0.2,32,50,3,False,0.2,sigmoid,glorot_normal,,0.538291166198143,0.5516514193905874,404.00872230529785,13
76,0.2,32,50,3,False,0.2,sigmoid,uniform,,0.5411874946758667,0.5596000844197853,356.1761727333069,13
77,0.2,32,50,3,False,0.2,sigmoid,normal,,0.5364596643666412,0.5515692782314127,356.1974160671234,13
78,0.2,32,50,3,False,0.4,sigmoid,glorot_normal,,0.5432745549024619,0.5541636328681043,392.4387831687927,13
79,0.2,32,50,3,False,0.4,sigmoid,uniform,,0.5414004600051111,0.5618622311851477,357.3522446155548,13
80,0.2,32,50,3,False,0.4,sigmoid,normal,,0.5439134508901952,0.5669140172446486,356.6125843524933,13
81,0.2,64,50,1,False,0,selu,glorot_normal,,0.4608143794190306,0.0,125.82456970214844,13
82,0.2,64,50,1,False,0,selu,uniform,,0.4608143794190306,0.0,97.38089108467102,13
83,0.2,64,50,1,False,0,selu,normal,,0.4599625181020531,0.007126602845253181,96.90656924247742,13
84,0.2,64,50,1,False,0.2,selu,glorot_normal,,0.4608143794190306,0.0,130.1215260028839,13
85,0.2,64,50,1,False,0.2,selu,uniform,,0.4608143794190306,0.0,103.16533279418945,13
86,0.2,64,50,1,False,0.2,selu,normal,,0.46026066956299516,0.010193903548624633,103.21733021736145,13
87,0.2,64,50,1,False,0.4,selu,glorot_normal,,0.461751426867706,0.026712702964677964,121.89112567901611,13
88,0.2,64,50,1,False,0.4,selu,uniform,,0.4608143794190306,0.0,101.19285225868225,13
89,0.2,64,50,1,False,0.4,selu,normal,,0.45727915495357363,0.00809149150417124,102.18884086608887,13
90,0.2,64,50,2,False,0,selu,glorot_normal,,0.4608143794190306,0.0,199.93311190605164,13
91,0.2,64,50,2,False,0,selu,uniform,,0.4608143794190306,0.0,159.8566918373108,13
92,0.2,64,50,2,False,0,selu,normal,,0.4608143794190306,0.0,159.12837481498718,13
93,0.2,64,50,2,False,0.2,selu,glorot_normal,,0.4595791805094131,0.01504567961065598,216.26956176757812,13
94,0.2,64,50,2,False,0.2,selu,uniform,,0.4608143794190306,0.0,171.84702229499817,13
95,0.2,64,50,2,False,0.2,selu,normal,,0.4608143794190306,0.0,169.40469002723694,13
96,0.2,64,50,2,False,0.4,selu,glorot_normal,,0.4608143794190306,0.0,203.67429995536804,13
97,0.2,64,50,2,False,0.4,selu,uniform,,0.4608143794190306,0.0,172.71038842201233,13
98,0.2,64,50,2,False,0.4,selu,normal,,0.45872731919243553,0.010504903216366305,170.732994556427,13
99,0.2,64,50,3,False,0,selu,glorot_normal,,0.4608143794190306,0.0,279.7858872413635,13
100,0.2,64,50,3,False,0,selu,uniform,,0.4608143794190306,0.0,234.08307147026062,13
101,0.2,64,50,3,False,0,selu,normal,,0.4608143794190306,0.0,231.26249241828918,13
102,0.2,64,50,3,False,0.2,selu,glorot_normal,,0.4608143794190306,0.0,299.1381115913391,13
103,0.2,64,50,3,False,0.2,selu,uniform,,0.4608143794190306,0.0,243.58315205574036,13
104,0.2,64,50,3,False,0.2,selu,normal,,0.4608143794190306,0.0,246.14260411262512,13
