iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
30,0.2,32,50,1,0.2,tanh,zero,,0.6117896852410126,0.23572594127662025,526.7295322418213,13
31,0.2,32,50,1,0.2,tanh,uniform,,0.846682226328244,0.7969870337101685,542.9229974746704,13
32,0.2,32,50,1,0.2,tanh,normal,,0.8433401406852735,0.7917843146760619,477.05724000930786,13
33,0.2,32,50,1,0.4,tanh,zero,,0.6117896852410126,0.23572594127662025,485.57450222969055,13
34,0.2,32,50,1,0.4,tanh,uniform,,0.8529385069208077,0.804844611389505,575.2225477695465,13
35,0.2,32,50,1,0.4,tanh,normal,,0.8509384420888847,0.8026598501997297,578.5475556850433,13
36,0.2,32,50,2,0,tanh,zero,,0.6117896852410126,0.23572594127662025,604.9065570831299,13
37,0.2,32,50,2,0,tanh,uniform,,0.8169211319653797,0.7558057903441495,658.4043881893158,13
38,0.2,32,50,2,0,tanh,normal,,0.8065220914778438,0.741115955905553,632.5751664638519,13
39,0.2,32,50,2,0.2,tanh,zero,,0.6117896852410126,0.23572594127662025,691.4615812301636,13
40,0.2,32,50,2,0.2,tanh,uniform,,0.8425167752601379,0.7917537070308621,602.5337340831757,13
41,0.2,32,50,2,0.2,tanh,normal,,0.8407209309864175,0.7886038739208204,531.1751046180725,13
42,0.2,32,50,2,0.4,tanh,zero,,0.6117896852410126,0.23572594127662025,628.8417873382568,13
43,0.2,32,50,2,0.4,tanh,uniform,,0.8540763071736526,0.8069574760811734,610.3929092884064,13
44,0.2,32,50,2,0.4,tanh,normal,,0.8501572174138545,0.8013568517100621,652.6610336303711,13
45,0.2,32,50,3,0,tanh,zero,,0.6117896852410126,0.23572594127662025,707.7487897872925,13
46,0.2,32,50,3,0,tanh,uniform,,0.8123764141463256,0.7497657700747756,734.5591788291931,13
47,0.2,32,50,3,0,tanh,normal,,0.8051865538591202,0.7402580320769185,751.1528971195221,13
48,0.2,32,50,3,0.2,tanh,zero,,0.6117896852410126,0.23572594127662025,611.7377252578735,13
49,0.2,32,50,3,0.2,tanh,uniform,,0.8379039839216832,0.7845312361165903,634.5205068588257,13
50,0.2,32,50,3,0.2,tanh,normal,,0.8341015916237154,0.7801447419961781,751.7875707149506,13
51,0.2,32,50,3,0.4,tanh,zero,,0.6117896852410126,0.23572594127662025,719.3636677265167,13
