iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,0,elu,zero,,0.4423076923076923,0.28934648434835986,3.775958776473999,13
1,0.2,32,50,1,0,elu,uniform,,0.5576923076923077,0.3443255933270626,1.248974084854126,13
2,0.2,32,50,1,0,elu,normal,,0.5576923076923077,0.3443255933270626,1.2629802227020264,13
3,0.2,32,50,1,0.2,elu,zero,,0.4423076923076923,0.28934648434835986,3.292938709259033,13
4,0.2,32,50,1,0.2,elu,uniform,,0.5576923076923077,0.3443255933270626,1.2189807891845703,13
5,0.2,32,50,1,0.2,elu,normal,,0.5576923076923077,0.3443255933270626,1.287435531616211,13
6,0.2,32,50,1,0.4,elu,zero,,0.4423076923076923,0.28934648434835986,2.988940715789795,13
7,0.2,32,50,1,0.4,elu,uniform,,0.5576923076923077,0.3443255933270626,1.201939344406128,13
