iteration,lag,test_split,K,rmse,init,random_run,accuracy,f_score,time_train
66,13,0.2,11,,k-means++,3,0.6025641025641025,0.3743126756284651,0.9688522815704346
67,13,0.2,12,,k-means++,3,0.6025641025641025,0.3743126756284651,0.9220099449157715
68,13,0.2,13,,k-means++,3,0.6025641025641025,0.3743126756284651,1.0313212871551514
69,13,0.2,14,,k-means++,3,0.6025641025641025,0.3743126756284651,1.2501308917999268
70,13,0.2,15,,k-means++,3,0.6025641025641025,0.3743126756284651,1.1876254081726074
71,13,0.2,16,,k-means++,3,0.6025641025641025,0.3743126756284651,1.2345051765441895
72,13,0.2,17,,k-means++,3,0.6025641025641025,0.3743126756284651,1.2501330375671387
73,13,0.2,18,,k-means++,3,0.6025641025641025,0.3743126756284651,1.0782384872436523
74,13,0.2,19,,k-means++,3,0.6025641025641025,0.3743126756284651,0.6875712871551514
75,13,0.2,20,,k-means++,3,0.6025641025641025,0.3743126756284651,0.35941243171691895
76,13,0.2,2,,k-means++,4,0.6025641025641025,0.3743126756284651,0.29691052436828613
77,13,0.2,3,,k-means++,4,0.6025641025641025,0.3743126756284651,0.39066267013549805
78,13,0.2,4,,k-means++,4,0.6025641025641025,0.3743126756284651,0.4062952995300293
79,13,0.2,5,,k-means++,4,0.6025641025641025,0.3743126756284651,0.5469295978546143
80,13,0.2,6,,k-means++,4,0.6025641025641025,0.3743126756284651,0.5469367504119873
81,13,0.2,7,,k-means++,4,0.6025641025641025,0.3743126756284651,0.671942949295044
82,13,0.2,8,,k-means++,4,0.6025641025641025,0.3743126756284651,0.8125853538513184
83,13,0.2,9,,k-means++,4,0.6025641025641025,0.3743126756284651,0.7344529628753662
84,13,0.2,10,,k-means++,4,0.6025641025641025,0.3743126756284651,0.8438398838043213
85,13,0.2,11,,k-means++,4,0.6025641025641025,0.3743126756284651,0.9532239437103271
86,13,0.2,12,,k-means++,4,0.6025641025641025,0.3743126756284651,0.9844789505004883
87,13,0.2,13,,k-means++,4,0.6025641025641025,0.3743126756284651,1.0469868183135986
88,13,0.2,14,,k-means++,4,0.6025641025641025,0.3743126756284651,1.1094920635223389
89,13,0.2,15,,k-means++,4,0.6025641025641025,0.3743126756284651,1.1251189708709717
90,13,0.2,16,,k-means++,4,0.6025641025641025,0.3743126756284651,1.1720361709594727
91,13,0.2,17,,k-means++,4,0.6025641025641025,0.3743126756284651,1.196826696395874
92,13,0.2,18,,k-means++,4,0.6025641025641025,0.3743126756284651,1.1460628509521484
93,13,0.2,19,,k-means++,4,0.6025641025641025,0.3743126756284651,0.6719460487365723
94,13,0.2,20,,k-means++,4,0.6025641025641025,0.3743126756284651,0.3125324249267578
95,13,0.2,2,,random,0,0.6025641025641025,0.3743126756284651,0.20314455032348633
96,13,0.2,3,,random,0,0.6025641025641025,0.3743126756284651,0.23440003395080566
97,13,0.2,4,,random,0,0.6025641025641025,0.3743126756284651,0.20314884185791016
98,13,0.2,5,,random,0,0.6025641025641025,0.3743126756284651,0.20314431190490723
99,13,0.2,6,,random,0,0.6025641025641025,0.3743126756284651,0.20314860343933105
100,13,0.2,7,,random,0,0.6025641025641025,0.3743126756284651,0.2500336170196533
101,13,0.2,8,,random,0,0.6025641025641025,0.3743126756284651,0.2343897819519043
102,13,0.2,9,,random,0,0.6025641025641025,0.3743126756284651,0.21877670288085938
103,13,0.2,10,,random,0,0.6025641025641025,0.3743126756284651,0.1875171661376953
104,13,0.2,11,,random,0,0.6025641025641025,0.3743126756284651,0.2031853199005127
105,13,0.2,12,,random,0,0.6025641025641025,0.3743126756284651,0.24998974800109863
106,13,0.2,13,,random,0,0.6025641025641025,0.3743126756284651,0.21877264976501465
107,13,0.2,14,,random,0,0.6025641025641025,0.3743126756284651,0.21877288818359375
108,13,0.2,15,,random,0,0.6025641025641025,0.3743126756284651,0.20315027236938477
109,13,0.2,16,,random,0,0.6025641025641025,0.3743126756284651,0.2500607967376709
110,13,0.2,17,,random,0,0.6025641025641025,0.3743126756284651,0.24998831748962402
111,13,0.2,18,,random,0,0.6025641025641025,0.3743126756284651,0.17189264297485352
112,13,0.2,19,,random,0,0.6025641025641025,0.3743126756284651,0.1250135898590088
113,13,0.2,20,,random,0,0.6025641025641025,0.3743126756284651,0.07813453674316406
114,13,0.2,2,,random,1,0.6025641025641025,0.3743126756284651,0.20318341255187988
115,13,0.2,3,,random,1,0.6025641025641025,0.3743126756284651,0.23439979553222656
116,13,0.2,4,,random,1,0.6025641025641025,0.3743126756284651,0.31249499320983887
117,13,0.2,5,,random,1,0.6025641025641025,0.3743126756284651,0.20314764976501465
118,13,0.2,6,,random,1,0.6025641025641025,0.3743126756284651,0.18751740455627441
119,13,0.2,7,,random,1,0.6025641025641025,0.3743126756284651,0.21877527236938477
120,13,0.2,8,,random,1,0.6025641025641025,0.3743126756284651,0.21877145767211914
121,13,0.2,9,,random,1,0.6025641025641025,0.3743126756284651,0.23439955711364746
122,13,0.2,10,,random,1,0.6025641025641025,0.3743126756284651,0.21877431869506836
123,13,0.2,11,,random,1,0.6025641025641025,0.3743126756284651,0.20314693450927734
124,13,0.2,12,,random,1,0.6025641025641025,0.3743126756284651,0.23440098762512207
125,13,0.2,13,,random,1,0.6025641025641025,0.3743126756284651,0.25002288818359375
126,13,0.2,14,,random,1,0.6025641025641025,0.3743126756284651,0.21877312660217285
127,13,0.2,15,,random,1,0.6025641025641025,0.3743126756284651,0.20314645767211914
128,13,0.2,16,,random,1,0.6025641025641025,0.3743126756284651,0.20314669609069824
129,13,0.2,17,,random,1,0.6025641025641025,0.3743126756284651,0.18751740455627441
130,13,0.2,18,,random,1,0.6025641025641025,0.3743126756284651,0.18751978874206543
131,13,0.2,19,,random,1,0.6025641025641025,0.3743126756284651,0.1406400203704834
132,13,0.2,20,,random,1,0.6025641025641025,0.3743126756284651,0.04687952995300293
133,13,0.2,2,,random,2,0.6025641025641025,0.3743126756284651,0.20314741134643555
134,13,0.2,3,,random,2,0.6025641025641025,0.3743126756284651,0.18752169609069824
135,13,0.2,4,,random,2,0.6025641025641025,0.3743126756284651,0.17189431190490723
136,13,0.2,5,,random,2,0.6025641025641025,0.3743126756284651,0.25002217292785645
137,13,0.2,6,,random,2,0.6025641025641025,0.3743126756284651,0.35941386222839355
138,13,0.2,7,,random,2,0.6025641025641025,0.3743126756284651,0.20314717292785645
139,13,0.2,8,,random,2,0.6025641025641025,0.3743126756284651,0.18755531311035156
140,13,0.2,9,,random,2,0.6025641025641025,0.3743126756284651,0.24999213218688965
141,13,0.2,10,,random,2,0.6025641025641025,0.3743126756284651,0.20314431190490723
142,13,0.2,11,,random,2,0.6025641025641025,0.3743126756284651,0.21877384185791016
143,13,0.2,12,,random,2,0.6025641025641025,0.3743126756284651,0.20314598083496094
144,13,0.2,13,,random,2,0.6025641025641025,0.3743126756284651,0.2188115119934082
145,13,0.2,14,,random,2,0.6025641025641025,0.3743126756284651,0.23440051078796387
146,13,0.2,15,,random,2,0.6025641025641025,0.3743126756284651,0.2499866485595703
147,13,0.2,16,,random,2,0.6025641025641025,0.3743126756284651,0.21877336502075195
148,13,0.2,17,,random,2,0.6025641025641025,0.3743126756284651,0.17189383506774902
149,13,0.2,18,,random,2,0.6025641025641025,0.3743126756284651,0.1562666893005371
150,13,0.2,19,,random,2,0.6025641025641025,0.3743126756284651,0.12505221366882324
151,13,0.2,20,,random,2,0.6025641025641025,0.3743126756284651,0.04684114456176758
152,13,0.2,2,,random,3,0.6025641025641025,0.3743126756284651,0.25002408027648926
153,13,0.2,3,,random,3,0.6025641025641025,0.3743126756284651,0.20314598083496094
154,13,0.2,4,,random,3,0.6025641025641025,0.3743126756284651,0.20314836502075195
155,13,0.2,5,,random,3,0.6025641025641025,0.3743126756284651,0.17189478874206543
156,13,0.2,6,,random,3,0.6025641025641025,0.3743126756284651,0.21877217292785645
157,13,0.2,7,,random,3,0.6025641025641025,0.3743126756284651,0.23439741134643555
158,13,0.2,8,,random,3,0.6025641025641025,0.3743126756284651,0.20314645767211914
159,13,0.2,9,,random,3,0.6025641025641025,0.3743126756284651,0.20314741134643555
160,13,0.2,10,,random,3,0.6025641025641025,0.3743126756284651,0.21877551078796387
161,13,0.2,11,,random,3,0.6025641025641025,0.3743126756284651,0.3437824249267578
162,13,0.2,12,,random,3,0.6025641025641025,0.3743126756284651,0.23439955711364746
163,13,0.2,13,,random,3,0.6025641025641025,0.3743126756284651,0.20314693450927734
164,13,0.2,14,,random,3,0.6025641025641025,0.3743126756284651,0.21877479553222656
165,13,0.2,15,,random,3,0.6025641025641025,0.3743126756284651,0.2656517028808594
166,13,0.2,16,,random,3,0.6025641025641025,0.3743126756284651,0.2656521797180176
167,13,0.2,17,,random,3,0.6025641025641025,0.3743126756284651,0.21877336502075195
168,13,0.2,18,,random,3,0.6025641025641025,0.3743126756284651,0.1406397819519043
169,13,0.2,19,,random,3,0.6025641025641025,0.3743126756284651,0.07813668251037598
170,13,0.2,20,,random,3,0.6025641025641025,0.3743126756284651,0.04687857627868652
171,13,0.2,2,,random,4,0.6025641025641025,0.3743126756284651,0.23439908027648926
172,13,0.2,3,,random,4,0.6025641025641025,0.3743126756284651,0.23440003395080566
173,13,0.2,4,,random,4,0.6025641025641025,0.3743126756284651,0.21877264976501465
174,13,0.2,5,,random,4,0.6025641025641025,0.3743126756284651,0.20314812660217285
175,13,0.2,6,,random,4,0.6025641025641025,0.3743126756284651,0.20314764976501465
176,13,0.2,7,,random,4,0.6025641025641025,0.3743126756284651,0.21877312660217285
177,13,0.2,8,,random,4,0.6025641025641025,0.3743126756284651,0.20314383506774902
178,13,0.2,9,,random,4,0.6025641025641025,0.3743126756284651,0.21877312660217285
179,13,0.2,10,,random,4,0.6025641025641025,0.3743126756284651,0.20314836502075195
180,13,0.2,11,,random,4,0.6025641025641025,0.3743126756284651,0.23440146446228027
181,13,0.2,12,,random,4,0.6025641025641025,0.3743126756284651,0.23439621925354004
182,13,0.2,13,,random,4,0.6025641025641025,0.3743126756284651,0.23439884185791016
183,13,0.2,14,,random,4,0.6025641025641025,0.3743126756284651,0.18751978874206543
184,13,0.2,15,,random,4,0.6025641025641025,0.3743126756284651,0.21881318092346191
185,13,0.2,16,,random,4,0.6025641025641025,0.3743126756284651,0.2343614101409912
186,13,0.2,17,,random,4,0.6025641025641025,0.3743126756284651,0.2969043254852295
187,13,0.2,18,,random,4,0.6025641025641025,0.3743126756284651,0.17189383506774902
188,13,0.2,19,,random,4,0.6025641025641025,0.3743126756284651,0.09375977516174316
189,13,0.2,20,,random,4,0.6025641025641025,0.3743126756284651,0.04688000679016113
190,13,0.3,2,,k-means++,0,0.6068376068376069,0.3762132604237868,0.281280517578125
191,13,0.3,3,,k-means++,0,0.6068376068376069,0.3762132604237868,0.4531722068786621
192,13,0.3,4,,k-means++,0,0.6068376068376069,0.3762132604237868,0.4219207763671875
193,13,0.3,5,,k-means++,0,0.6068376068376069,0.3762132604237868,0.546931266784668
194,13,0.3,6,,k-means++,0,0.6068376068376069,0.3762132604237868,0.5469322204589844
195,13,0.3,7,,k-means++,0,0.6068376068376069,0.3762132604237868,0.6719455718994141
196,13,0.3,8,,k-means++,0,0.6068376068376069,0.3762132604237868,0.6875731945037842
197,13,0.3,9,,k-means++,0,0.6068376068376069,0.3762132604237868,0.7813324928283691
198,13,0.3,10,,k-means++,0,0.6068376068376069,0.3762132604237868,1.0313587188720703
199,13,0.3,11,,k-means++,0,0.6068376068376069,0.3762132604237868,0.9219720363616943
200,13,0.3,12,,k-means++,0,0.6068376068376069,0.3762132604237868,0.9844787120819092
201,13,0.3,13,,k-means++,0,0.6068376068376069,0.3762132604237868,0.9375989437103271
202,13,0.3,14,,k-means++,0,0.6068376068376069,0.3762132604237868,1.031358242034912
203,13,0.3,15,,k-means++,0,0.6068376068376069,0.3762132604237868,1.1407456398010254
204,13,0.3,16,,k-means++,0,0.6068376068376069,0.3762132604237868,0.7188284397125244
205,13,0.3,17,,k-means++,0,0.6068376068376069,0.3762132604237868,0.4219174385070801
206,13,0.3,18,,k-means++,0,0.6068376068376069,0.3762132604237868,0.2969052791595459
207,13,0.3,19,,k-means++,0,0.6068376068376069,0.3762132604237868,0.23440313339233398
208,13,0.3,2,,k-means++,1,0.6068376068376069,0.3762132604237868,0.35941028594970703
209,13,0.3,3,,k-means++,1,0.6068376068376069,0.3762132604237868,0.35941243171691895
210,13,0.3,4,,k-means++,1,0.6068376068376069,0.3762132604237868,0.4375476837158203
211,13,0.3,5,,k-means++,1,0.6068376068376069,0.3762132604237868,0.7031974792480469
212,13,0.3,6,,k-means++,1,0.6068376068376069,0.3762132604237868,0.7813327312469482
213,13,0.3,7,,k-means++,1,0.6068376068376069,0.3762132604237868,0.8846123218536377
214,13,0.3,8,,k-means++,1,0.6068376068376069,0.3762132604237868,0.8594660758972168
