iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
0,0.2,32,50,1,False,0,tanh,zero,,0.4743589743589744,0.3213213213213213,12.182385444641113,13
1,0.2,32,50,1,False,0,tanh,uniform,,0.9743589743589745,0.9742063492063492,2.3339531421661377,13
2,0.2,32,50,1,False,0,tanh,normal,,0.9743589743589745,0.9742063492063492,2.3099536895751953,13
3,0.2,32,50,1,False,0.2,tanh,zero,,0.4743589743589744,0.3213213213213213,11.723768472671509,13
4,0.2,32,50,1,False,0.2,tanh,uniform,,0.9743589743589745,0.9742063492063492,2.2149600982666016,13
